账户ID,钱包余额,SN,操作类型,操作金额,备注,操作时间,操作人员
olAFl62kLrs3SC756f7hB-8eNQ2c,0.00,67002447026582	,用户提现,49.00,用户提现-退费单RF2026072115191127461,2026-07-21 15:19:30,用户提现,
olAFl62kLrs3SC756f7hB-8eNQ2c,49.00,67002447026582	,订单退费转入,49.00,工单系统流量套餐退款,2026-07-21 15:19:11,SYS,
olAFl64y3OUtqMdUNivP4bi5vu6c,0.00,35682233049456	,用户提现,121.00,用户提现-退费单RF2026072115020456438,2026-07-21 15:03:05,用户提现,
olAFl64y3OUtqMdUNivP4bi5vu6c,121.00,35682233049456	,订单退费转入,121.00,系统处理工单时转移用户余额，订单号=WS2026050822524033234,2026-07-21 15:02:05,SYS,
olAFl61hljT1O7chXDaPlmANe3go,0.00,68772612329276	,用户提现,167.00,用户提现-退费单RF2026051020423776,2026-07-21 14:56:20,用户提现,
ojb7F2OycXEsluLV2R4s9a9lHza4,0.00,69212606156758	,用户提现,29.00,用户提现-退费单RF2026072114442168490,2026-07-21 14:46:59,用户提现,
ojb7F2OycXEsluLV2R4s9a9lHza4,29.00,69212606156758	,订单退费转入,29.00,工单系统流量套餐退款,2026-07-21 14:44:22,SYS,
olAFl6xCuQtNPnrcGyHbE2cmE1cQ,0.00,69212537029764	,用户提现,166.60,用户提现-退费单RF2026072114380498848,2026-07-21 14:38:37,用户提现,
olAFl6xCuQtNPnrcGyHbE2cmE1cQ,166.60,69212537029764	,订单退费转入,166.60,系统处理工单时转移用户余额，订单号=WS2026062000251900345,2026-07-21 14:38:05,SYS,
olAFl6--_G0roVWRgOVzKBb4fZeY,0.00,60912414082760	,用户提现,69.00,用户提现-退费单RF2026072114185896092,2026-07-21 14:25:58,用户提现,
ojb7F2LN4ddwHXkMp9zRgLHjkpF0,0.00,68772522027843	,用户提现,100.00,用户提现-退费单RF2026072114200177697,2026-07-21 14:21:52,用户提现,
ojb7F2LN4ddwHXkMp9zRgLHjkpF0,100.00,68772522027843	,订单退费转入,100.00,系统处理工单时转移用户余额，订单号=WN2026072112525149040,2026-07-21 14:20:02,SYS,
olAFl6--_G0roVWRgOVzKBb4fZeY,69.00,60912414082760	,订单退费转入,69.00,工单系统流量套餐退款,2026-07-21 14:18:59,SYS,
o2uAP69Y5tNTS0leDgrxQj_lhIkA,0.00,90462832	,用户提现,85.00,用户提现-退费单RF2026072114052266970,2026-07-21 14:09:56,用户提现,
o2uAP69Y5tNTS0leDgrxQj_lhIkA,85.00,90462832	,订单退费转入,85.00,工单系统流量套餐退款,2026-07-21 14:05:23,SYS,
ojb7F2L77s_Qtgrk4qgGzTtVXZbs,0.00,69212621217850	,用户提现,320.00,用户提现-退费单RF2026072009204898885,2026-07-21 14:03:18,用户提现,
olAFl62xC6r2kPolK24ST0pMkeUo,0.00,70032617029570	,用户提现,109.00,用户提现-退费单RF2026072113404109881,2026-07-21 13:43:50,用户提现,
olAFl62xC6r2kPolK24ST0pMkeUo,109.00,70032617029570	,订单退费转入,109.00,工单系统流量套餐退款,2026-07-21 13:40:41,SYS,
olAFl658u9gwRAsh8VQwZQuio-bI,0.00,68772543149826	,用户提现,102.40,用户提现-退费单RF2026071914535657073,2026-07-21 13:40:01,用户提现,
olAFl6-jB-B95QUcz4tp0iuz_eQQ,0.00,69212602144143	,用户提现,89.90,用户提现-退费单RF2026072113360510475,2026-07-21 13:36:52,用户提现,
olAFl6-jB-B95QUcz4tp0iuz_eQQ,89.90,69212602144143	,订单退费转入,89.90,系统处理工单时转移用户余额，订单号=WS2026032022340235759,2026-07-21 13:36:05,SYS,
olAFl64D4HwfUjEGFNrhhx6s33qw,0.00,67512535272817	,用户提现,66.60,用户提现-退费单RF2026072113334958260,2026-07-21 13:34:49,用户提现,
olAFl64D4HwfUjEGFNrhhx6s33qw,66.60,67512535272817	,订单退费转入,66.60,系统处理工单时转移用户余额，订单号=WS2025120312145490024,2026-07-21 13:33:50,SYS,
o2uAP6zx_z0-fz2QaW6Rr2QJnjCE,0.00,86350254	,用户提现,199.00,用户提现-退费单RF2026072113311961774,2026-07-21 13:32:32,用户提现,
o2uAP6zx_z0-fz2QaW6Rr2QJnjCE,199.00,86350254	,订单退费转入,199.00,工单系统流量套餐退款,2026-07-21 13:31:20,SYS,
olAFl696IeQQwlu_k2uQPxpHKvHs,0.00,67002535359002	,用户提现,102.80,用户提现-退费单RF2026072113240874582,2026-07-21 13:25:09,用户提现,
olAFl696IeQQwlu_k2uQPxpHKvHs,102.80,67002535359002	,订单退费转入,102.80,系统处理工单时转移用户余额，订单号=WS2025111209225513899,2026-07-21 13:24:09,SYS,
olAFl62029gu44Toi6H6s6uT9YwQ,0.00,69212606159487	,用户提现,40.00,用户提现-退费单RF2026072113161249925,2026-07-21 13:16:49,用户提现,
olAFl62029gu44Toi6H6s6uT9YwQ,40.00,69212606159487	,订单退费转入,40.00,系统处理工单时转移用户余额，订单号=WN2026031514400089531,2026-07-21 13:16:13,SYS,
